category,manufacturer,modelname,serialnumber,ondate,inventory,operatorcode,project,ownercode,propertytag,epochnotes,isinstalled,netcode,lookupcode,monname,installdate
BATTERY,UNKNOWN,UNKNOWN,ABTX2-2021-06,2021-06-04 (155) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,ABTX,"Abilene, Hawley, TX, USA",2021-06-04 (155) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,ABTX3-2021-06,2021-06-04 (155) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,ABTX,"Abilene, Hawley, TX, USA",2021-06-04 (155) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,ABTX4-2021-06,2021-06-04 (155) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,ABTX,"Abilene, Hawley, TX, USA",2021-06-04 (155) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,WHTX1-2021-06,2021-06-05 (156) 18:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,WHTX,"Lake Whitney, Meridian, TX, USA",2021-06-05 (156) 18:00:00
BATTERY,UNKNOWN,UNKNOWN,WHTX2-2021-06,2021-06-05 (156) 18:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,WHTX,"Lake Whitney, Meridian, TX, USA",2021-06-05 (156) 18:00:00
BATTERY,UNKNOWN,UNKNOWN,WHTX3-2021-06,2021-06-05 (156) 18:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,WHTX,"Lake Whitney, Meridian, TX, USA",2021-06-05 (156) 18:00:00
BATTERY,UNKNOWN,UNKNOWN,735B1-2021-06,2021-06-06 (157) 18:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,735B,"Kenedy, TX, USA",2021-06-06 (157) 18:00:00
BATTERY,UNKNOWN,UNKNOWN,735B2-2016-06,2021-06-06 (157) 18:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,735B,"Kenedy, TX, USA",2021-06-06 (157) 18:00:00
BATTERY,UNKNOWN,UNKNOWN,250A1-2021-06,2021-06-07 (158) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,250A,"Grady, AL, USA",2021-06-07 (158) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,250A2-2021-06,2021-06-07 (158) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,250A,"Grady, AL, USA",2021-06-07 (158) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,X51A1-2021-06,2021-06-08 (159) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,X51A,"Calhoun, GA, USA",2021-06-08 (159) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,X51A2-2021-06,2021-06-08 (159) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,X51A,"Calhoun, GA, USA",2021-06-08 (159) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,SPMN1-2021-06,2021-06-09 (160) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,SPMN,"Marine on St. Croix, MN, USA",2021-06-09 (160) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,SPMN2-2021-06,2021-06-09 (160) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,SPMN,"Marine on St. Croix, MN, USA",2021-06-09 (160) 16:00:00
